chrom	chunk	r2_med	r2_avg	r2_std	con_med	con_avg	con_std	inf_med	inf_avg	inf_std
34	9	0.6445	0.6290	0.1290	0.832	0.8268	0.0715	0.862	0.8493	0.0672
35	1	0.788	0.7807	0.0940	0.908	0.9034	0.0467	0.906	0.8955	0.0489
35	2	0.759	0.7512	0.1266	0.893	0.8861	0.0559	0.905	0.8947	0.0567
35	3	0.7305	0.7229	0.1070	0.868	0.8645	0.0554	0.891	0.8833	0.0482
35	4	0.612	0.6231	0.1310	0.826	0.8252	0.0602	0.852	0.8510	0.0526
35	5	0.690	0.6908	0.1327	0.857	0.8569	0.0693	0.868	0.8687	0.0591
35	6	0.5505	0.5434	0.1251	0.796	0.7876	0.0741	0.8045	0.7978	0.0588
36	1	0.737	0.7302	0.1237	0.890	0.8824	0.0597	0.887	0.8832	0.0552
36	2	0.7715	0.7801	0.1220	0.8875	0.8913	0.0599	0.9075	0.9096	0.0472
36	3	0.717	0.7231	0.1025	0.865	0.8660	0.0522	0.885	0.8832	0.0421
36	4	0.684	0.6994	0.1444	0.8555	0.8535	0.0727	0.8895	0.8792	0.0632
36	5	0.771	0.7684	0.1382	0.892	0.8874	0.0691	0.906	0.9045	0.0579
36	6	0.633	0.6434	0.1264	0.8295	0.8334	0.0697	0.8685	0.8637	0.0555
36	7	0.5425	0.5440	0.1048	0.771	0.7775	0.0666	0.809	0.8153	0.0480
37	1	0.8415	0.8389	0.0824	0.9295	0.9272	0.0403	0.934	0.9294	0.0402
37	2	0.751	0.7407	0.0979	0.885	0.8848	0.0466	0.8995	0.8971	0.0401
37	3	0.781	0.7774	0.1259	0.9	0.8983	0.0569	0.912	0.9102	0.0414
37	4	0.7265	0.7212	0.1275	0.884	0.8771	0.0594	0.892	0.8889	0.0532
37	5	0.713	0.7156	0.0900	0.860	0.8610	0.0526	0.881	0.8813	0.0394
37	6	0.577	0.5848	0.1255	0.793	0.7967	0.0754	0.813	0.8113	0.0655
37	7	0.511	0.5197	0.1242	0.781	0.7772	0.0757	0.791	0.7891	0.0658
38	1	0.6015	0.6030	0.1309	0.818	0.8260	0.0644	0.832	0.8322	0.0576
38	2	0.666	0.6695	0.1098	0.837	0.8444	0.0536	0.869	0.8676	0.0414
38	3	0.657	0.6505	0.0988	0.838	0.8326	0.0543	0.861	0.8580	0.0380
38	4	0.6445	0.6444	0.1069	0.834	0.8332	0.0638	0.867	0.8642	0.0409
38	5	0.631	0.6357	0.1207	0.8365	0.8351	0.0626	0.8585	0.8501	0.0590
3	10	0.762	0.7578	0.0915	0.882	0.8802	0.0439	0.897	0.8938	0.0474
3	11	0.7815	0.7888	0.0990	0.899	0.9017	0.0515	0.9225	0.9216	0.0370
3	12	0.818	0.7874	0.1243	0.912	0.8996	0.0559	0.929	0.9148	0.0502
3	13	0.7485	0.7691	0.1635	0.8865	0.8952	0.0763	0.895	0.8914	0.0763
3	14	0.801	0.7979	0.0753	0.9	0.9029	0.0371	0.925	0.9217	0.0283
3	15	0.7915	0.7956	0.0922	0.8995	0.9052	0.0450	0.919	0.9184	0.0394
3	16	0.764	0.7580	0.1032	0.891	0.8900	0.0489	0.903	0.9012	0.0437
3	17	0.728	0.7281	0.0787	0.875	0.8735	0.0419	0.8985	0.8943	0.0366
3	18	0.735	0.7263	0.1076	0.875	0.8709	0.0512	0.897	0.8913	0.0443
3	19	0.645	0.6221	0.1395	0.835	0.8246	0.0767	0.8475	0.8414	0.0610
3	1	0.975	0.9528	0.0622	0.985	0.9770	0.0246	0.982	0.9696	0.0336
3	2	0.849	0.8450	0.0849	0.936	0.9279	0.0402	0.944	0.9377	0.0323
3	3	0.829	0.8205	0.0826	0.918	0.9173	0.0399	0.932	0.9288	0.0307
3	4	0.838	0.8210	0.1071	0.925	0.9221	0.0373	0.939	0.9246	0.0584
3	5	0.782	0.7755	0.1222	0.897	0.8980	0.0560	0.915	0.9088	0.0507
3	6	0.8505	0.8401	0.1136	0.935	0.9303	0.0469	0.9405	0.9326	0.0429
3	7	0.852	0.8452	0.0913	0.936	0.9316	0.0396	0.9425	0.9389	0.0339
3	8	0.862	0.8471	0.0956	0.942	0.9315	0.0451	0.939	0.9288	0.0449
3	9	0.864	0.8441	0.0970	0.933	0.9257	0.0450	0.938	0.9279	0.0434
4	10	0.785	0.7879	0.0973	0.905	0.9018	0.0442	0.925	0.9207	0.0370
4	11	0.766	0.7638	0.1032	0.891	0.8946	0.0538	0.913	0.9108	0.0401
4	12	0.781	0.7739	0.1065	0.896	0.8919	0.0561	0.919	0.9151	0.0439
4	13	0.784	0.7580	0.1305	0.9025	0.8934	0.0649	0.919	0.9072	0.0575
4	14	0.8185	0.8080	0.1025	0.9175	0.9102	0.0513	0.9335	0.9263	0.0397
4	15	0.818	0.8162	0.0970	0.915	0.9172	0.0428	0.934	0.9313	0.0346
4	16	0.778	0.7760	0.0947	0.896	0.8951	0.0464	0.907	0.9058	0.0349
4	17	0.7505	0.7461	0.0920	0.88	0.8827	0.0438	0.908	0.9060	0.0354
4	18	0.667	0.6641	0.0927	0.849	0.8443	0.0585	0.865	0.8621	0.0466
4	1	0.975	0.9675	0.0276	0.990	0.9842	0.0147	0.986	0.9788	0.0221
4	2	0.8615	0.8550	0.0781	0.9335	0.9299	0.0381	0.941	0.9383	0.0329
4	3	0.814	0.7969	0.1374	0.918	0.9107	0.0604	0.922	0.9129	0.0586
4	4	0.833	0.8215	0.1156	0.927	0.9201	0.0541	0.937	0.9297	0.0449
4	5	0.788	0.7839	0.1304	0.8965	0.8897	0.0668	0.918	0.9158	0.0495
4	6	0.808	0.8117	0.1290	0.9	0.9070	0.0654	0.9255	0.9185	0.0599
4	7	0.816	0.7967	0.1108	0.918	0.9104	0.0522	0.928	0.9152	0.0545
4	8	0.79	0.7890	0.1045	0.91	0.9017	0.0561	0.91	0.9057	0.0490
4	9	0.770	0.7713	0.1135	0.887	0.8905	0.0562	0.918	0.9138	0.0423
5	10	0.847	0.8351	0.0918	0.927	0.9208	0.0457	0.944	0.9415	0.0309
5	11	0.768	0.7625	0.1020	0.885	0.8860	0.0482	0.915	0.9111	0.0416
5	12	0.665	0.6529	0.1198	0.840	0.8487	0.0642	0.838	0.8391	0.0577
5	13	0.8395	0.8332	0.1227	0.934	0.9256	0.0560	0.937	0.9313	0.0509
5	14	0.675	0.6823	0.1411	0.853	0.8469	0.0711	0.8545	0.8597	0.0581
5	15	0.733	0.7384	0.1073	0.877	0.8776	0.0576	0.906	0.9027	0.0374
5	16	0.835	0.8225	0.1299	0.930	0.9211	0.0602	0.929	0.9248	0.0559
5	17	0.771	0.7597	0.1494	0.901	0.8869	0.0735	0.912	0.9015	0.0575
5	18	0.591	0.6053	0.0993	0.8075	0.8163	0.0633	0.829	0.8309	0.0486
5	1	0.956	0.9480	0.0424	0.979	0.9757	0.0192	0.978	0.9722	0.0245
5	2	0.8185	0.8000	0.1139	0.9185	0.9143	0.0494	0.923	0.9182	0.0466
5	3	0.730	0.7249	0.1342	0.868	0.8683	0.0675	0.894	0.8855	0.0586
5	4	0.654	0.6689	0.1285	0.854	0.8487	0.0695	0.8585	0.8562	0.0588
5	5	0.75	0.7612	0.1459	0.882	0.8844	0.0698	0.899	0.8981	0.0605
5	6	0.7815	0.7852	0.1048	0.901	0.9009	0.0492	0.9275	0.9271	0.0348
5	7	0.812	0.8061	0.1217	0.9135	0.9114	0.0547	0.921	0.9175	0.0525
5	8	0.853	0.8351	0.0909	0.9335	0.9258	0.0412	0.9425	0.9351	0.0463
5	9	0.887	0.8623	0.1047	0.949	0.9389	0.0465	0.955	0.9412	0.0468
6	10	0.815	0.8091	0.0758	0.916	0.9137	0.0362	0.928	0.9249	0.0301
6	11	0.817	0.8126	0.0768	0.915	0.9138	0.0401	0.9335	0.9283	0.0327
6	12	0.8225	0.8257	0.1124	0.9155	0.9169	0.0563	0.929	0.9269	0.0451
6	13	0.7945	0.7866	0.1092	0.896	0.8984	0.0550	0.9195	0.9128	0.0442
6	14	0.708	0.7146	0.1054	0.857	0.8658	0.0518	0.888	0.8883	0.0376
6	15	0.700	0.7059	0.1090	0.851	0.8509	0.0615	0.877	0.8765	0.0454
6	16	0.647	0.6258	0.1383	0.82	0.8202	0.0740	0.853	0.8363	0.0750
